type,indicator,confidence,packet_range_first_seen,notes
useragent,Mozilla/5.0 (Linux; Android 7.0; Pixel C Build/NRD90M; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0,HIGH,23179,Cobalt Strike fake mobile UA — no mobile device on this network
useragent,curl/7.69.1,HIGH,14878,Post-exploitation recon — used for myexternalip.com check
useragent,curl/7.74.0,HIGH,818,Post-exploitation recon — used for api.ipify.org check
useragent,curl/7.76.0,HIGH,10962,Post-exploitation recon — used for ipinfo.io check
network,TCP:447 outbound to 78.186.110.14,HIGH,11430,Trickbot non-standard exfil port — 2246 frames sustained
network,HTTPS no-SNI to 45.229.71.211,HIGH,10885,Cobalt Strike malleable C2 — missing SNI indicates custom profile
network,HTTPS no-SNI to 91.83.88.122,HIGH,49204,Cobalt Strike malleable C2 — missing SNI
network,HTTPS no-SNI to 37.228.70.134,HIGH,49202,Cobalt Strike malleable C2 — missing SNI
network,CS beacon interval ~207 seconds,HIGH,19347,Cobalt Strike default sleep — 207s ± 2s after jitter phase
network,SMB east-west DC to all workstations,HIGH,11100,DC 10.5.26.4 initiates SMB to 5 workstations — lateral movement post-DC compromise
network,DCERPC svcctl remote service calls,HIGH,10799,22 svcctl frames between 10.5.26.132 and 10.5.26.4 — PsExec-style execution
network,Kerberos AS-REQ TGS-REQ before SMB,MEDIUM,44,Credential use before lateral movement — possible pass-the-ticket or Kerberoasting prep
network,4x public IP lookups post-infection,HIGH,809,api.ip.sb + api.ipify.org + myexternalip.com + ipinfo.io queried within 10 minutes
host,DESKTOP-OG16DGY,HIGH,,Infected workstation hostname — appears in Trickbot C2 URI path
host,VICTORYPUNK-DC,HIGH,,Compromised domain controller — appears in Trickbot tot108 URI
host,10.5.26.132,HIGH,3,Primary infected workstation — first external beacon source
host,10.5.26.4,HIGH,12,Domain controller — compromised; beacons to Cobalt Strike C2
host,10.5.26.130,MEDIUM,11173,Workstation DESKTOP-1O7QAEA — SMB-scanned from DC
host,10.5.26.134,MEDIUM,11150,Workstation DESKTOP-PQ9KMAJ — SMB-scanned from DC
host,10.5.26.136,MEDIUM,11196,Workstation DESKTOP-BFXXVCB — SMB-scanned from DC
host,10.5.26.138,MEDIUM,11102,Workstation DESKTOP-QRIS9O3 — SMB-scanned from DC
host,10.5.26.140,MEDIUM,11126,Workstation DESKTOP-2P2S7WR — SMB-scanned from DC
hash,D5D933B2E59558F3F46D9130BB091D98,HIGH,,Trickbot victim module hash — embedded in rob87 C2 URI
hash,B5EFB19D6BB313B551F3FB5897A283BE,HIGH,,Trickbot victim module hash — embedded in tot108 C2 URI
gtag,rob87,HIGH,2910,Trickbot campaign tag — workstation infection stage
gtag,tot108,HIGH,13210,Trickbot campaign tag — domain controller infection stage
buildid,W617601,HIGH,2910,Trickbot build ID — present in both rob87 and tot108 C2 URIs
