ioc_id,ioc_type,ioc_value,threat_actor,malware_family,severity,confidence,first_frame,last_frame,packet_count,port,protocol,beacon_interval_s,direction,description,mitre_technique,mitre_tactic,notes
IOC-011,IP,172.67.75.172,Recon,Trickbot/Cobalt Strike,MEDIUM,HIGH,6807,11029,17,443,TLS,,outbound,IP reconnaissance — TLS connection to api.ip.sb (Cloudflare-fronted). Used by malware to identify victim external IP address pre-exfiltration.,T1016,Discovery,SNI: api.ip.sb; JA3: 1d095e68489d3c535297cd8dffb06cb9
IOC-012,IP,54.243.175.83,Recon,Trickbot,MEDIUM,HIGH,815,904,12,80,HTTP,,outbound,IP reconnaissance — HTTP GET to api.ipify.org /?format=text. Malware resolving victim public IP early in infection (frame 818).,T1016,Discovery,UA: curl/7.74.0; Host: api.ipify.org
IOC-013,IP,34.117.59.81,Recon,Cobalt Strike,MEDIUM,MEDIUM,10959,19093,18,80,HTTP,,outbound,IP reconnaissance — HTTP GET to ipinfo.io/ip and myexternalip.com/raw. Two distinct recon tools active at different stages of the infection.,T1016,Discovery,UA: curl/7.76.0 (ipinfo) and curl/7.69.1 (myexternalip); two GETs to different recon services
IOC-014,DOMAIN,antivirusupdaty.com,Trickbot,Trickbot,HIGH,HIGH,24102,26581,13,443,TLS,,outbound,Malicious domain masquerading as antivirus update service. TLS SNI observed in 13 ClientHellos to 5.199.162.3. Fake Android WebView UA used to evade detection.,T1071.001,Command and Control,Typosquatting/masquerade; SNI confirmed in TLS handshake; cross-reference IOC-008
IOC-015,DOMAIN,api.ipify.org,Recon,Trickbot,MEDIUM,HIGH,809,814,4,80,HTTP,,outbound,Public IP lookup service queried by Trickbot for victim IP reconnaissance at early infection stage (frame 818).,T1016,Discovery,Legitimate service abused; DNS query at frames 809–814
IOC-016,DOMAIN,api.ip.sb,Recon,Trickbot/Cobalt Strike,MEDIUM,HIGH,6807,11029,17,443,TLS,,outbound,Public IP lookup service — Cloudflare-fronted. Accessed via TLS at frame 6921.,T1016,Discovery,Legitimate service abused; SNI confirmed in TLS handshake
IOC-017,DOMAIN,myexternalip.com,Recon,Cobalt Strike,MEDIUM,MEDIUM,14878,14878,1,80,HTTP,,outbound,Public IP lookup service queried at frame 14878 — late stage recon after lateral movement to DC.,T1016,Discovery,Legitimate service abused; GET /raw; UA: curl/7.69.1
IOC-018,DOMAIN,ipinfo.io,Recon,Cobalt Strike,MEDIUM,MEDIUM,10962,10962,1,80,HTTP,,outbound,Public IP lookup service queried at frame 10962.,T1016,Discovery,Legitimate service abused; GET /ip; UA: curl/7.76.0
IOC-019,URI,/images/redbutton.png,Trickbot,Trickbot,CRITICAL,HIGH,3052,15645,4,80,HTTP,,outbound,Trickbot C2 URI — fake PNG filename masking binary C2 command/response data to 192.236.155.230. Observed in frames 3052 5599 13332 15645.,T1071.001,Command and Control,URI used by Trickbot HTTP module for task polling; WinHTTP loader/1.0 UA
IOC-020,URI,/images/cutscroll.png,Trickbot,Trickbot,CRITICAL,HIGH,10876,17677,2,80,HTTP,,outbound,Trickbot C2 URI — fake PNG masking C2 traffic to 192.236.155.230. Observed frames 10876 17677.,T1071.001,Command and Control,Second fake-image URI used by Trickbot HTTP module
IOC-021,URI,/ico/viodifot,Trickbot,Trickbot,CRITICAL,HIGH,4776,14741,2,80,HTTP,,outbound,Trickbot C2 URI — ICO endpoint masking C2 data to 192.236.155.230. Observed frames 4776 14741.,T1071.001,Command and Control,Third URI pattern; matches known Trickbot HTTP module URI schema
IOC-022,URI,/rob87/DESKTOP-OG16DGY_W617601.D5D933B2E59558F3F46D9130BB091D98/90,Cobalt Strike,Cobalt Strike,CRITICAL,HIGH,2910,3045,2,443,HTTP,,outbound,Cobalt Strike malleable C2 staging URI — encodes compromised hostname (DESKTOP-OG16DGY) + campaign ID (W617601) + hash. Served by 36.95.27.243 and 103.102.220.50.,T1105,Command and Control,Classic CS staging URI format; bot_id/hostname_campaignid_hash/pipe_id
IOC-023,URI,/tot108/VICTORYPUNK-DC_W617601.B5EFB19D6BB313B551F3FB5897A283BE/90,Cobalt Strike,Cobalt Strike,CRITICAL,HIGH,13210,14613,2,443,HTTP,,outbound,Cobalt Strike malleable C2 staging URI — encodes DC hostname (VICTORYPUNK-DC) post-lateral movement. Confirms DC compromise. Served by 36.95.27.243 and 103.102.220.50.,T1105,Lateral Movement,DC hostname in URI confirms successful lateral movement to domain controller
IOC-024,JA3,6734f37431670b3ab4292b8f60f29984,Trickbot/Cobalt Strike,Trickbot+Cobalt Strike,CRITICAL,HIGH,736,26477,40+,443,TLS,,outbound,Shared JA3 client fingerprint across all Trickbot and Cobalt Strike TLS sessions. Present in all no-SNI connections to IOC-001 through IOC-007. Known Trickbot JA3 hash.,T1071.001,Command and Control,Single JA3 across all C2 channels indicates shared TLS library; strong detection signal
IOC-025,JA3,1d095e68489d3c535297cd8dffb06cb9,Recon,Unknown,MEDIUM,MEDIUM,6921,6921,1,443,TLS,,outbound,JA3 fingerprint for TLS connection to api.ip.sb (172.67.75.172). Different from primary malware JA3 — may indicate separate tool or binary.,T1016,Discovery,Only 1 occurrence; different from IOC-024; possible second-stage recon tool
IOC-026,USER-AGENT,WinHTTP loader/1.0,Trickbot,Trickbot,CRITICAL,HIGH,5599,17677,4,80,HTTP,,outbound,Trickbot malware user-agent string. Present in all authenticated Trickbot HTTP C2 requests to 192.236.155.230. Definitive Trickbot IoC.,T1071.001,Command and Control,Frames: 5599 10876 15645 17677; matches known Trickbot WinHTTP module UA
IOC-027,USER-AGENT,Winhttp 1/0,Cobalt Strike,Cobalt Strike,CRITICAL,HIGH,2910,14613,4,443,HTTP,,outbound,Cobalt Strike beacon user-agent string in malleable C2 profile. Present in all /rob87/ and /tot108/ requests. Definitive Cobalt Strike IoC.,T1071.001,Command and Control,Frames: 2910 3045 13210 14613; CS malleable C2 UA; non-standard capitalisation is detection artifact
IOC-028,USER-AGENT,"Mozilla/5.0 (Linux; Android 7.0; Pixel C Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0",Trickbot,Trickbot,HIGH,HIGH,23179,26639,70+,443,TLS,,outbound,Fake Android WebView user-agent used in TLS sessions to antivirusupdaty.com (5.199.162.3). Spoofs Google Pixel C tablet to evade signature-based detection.,T1036,Defense Evasion,Windows host spoofing Android UA; used exclusively with antivirusupdaty.com C2
IOC-029,PORT,447,Unknown/Trickbot,Trickbot,HIGH,HIGH,11430,19052,2246,447,TLS,,outbound,Non-standard TLS port 447 used by 78.186.110.14 for C2 communications. Likely used to bypass firewall rules that filter 443 but allow adjacent ports.,T1571,Command and Control,Non-Standard Port technique; JA3: 6734f37431670b3ab4292b8f60f29984 confirms malware TLS
IOC-030,HOST,DESKTOP-OG16DGY,Victim,Victim,CRITICAL,HIGH,1,26644,26644,,,,internal,Infected workstation — primary victim host (10.5.26.4). Initial infection point. Sources all early C2 traffic including Trickbot HTTP and Cobalt Strike beacons to IOC-002.,T1566,Initial Access,Hostname embedded in Cobalt Strike URI (IOC-022); internal IP 10.5.26.4
IOC-031,HOST,VICTORYPUNK-DC,Victim,Victim,CRITICAL,HIGH,26,26644,,,,,internal,Domain Controller — lateral movement target (10.5.26.132). Hostname embedded in Cobalt Strike URI (IOC-023) confirming successful DC compromise. Sources SMB and Kerberos to 10.5.26.4.,T1021.002,Lateral Movement,Internal IP 10.5.26.132; DC compromise confirmed via /tot108/ URI at frame 13210
IOC-032,HOST,10.5.26.130,Victim,Victim,MEDIUM,MEDIUM,19199,20362,,,,,internal,Internal lateral movement target — SMB SYSVOL access from this host to DC (frames 19199 20362). Indicates Trickbot lateral spread post-DC compromise.,T1021.002,Lateral Movement,SYSVOL GPO access via SMB2; likely propagation target
IOC-033,HOST,10.5.26.134,Victim,Victim,MEDIUM,MEDIUM,11271,24711,,,,,internal,Internal lateral movement target — SMB SYSVOL access (frames 11272 21705 24711).,T1021.002,Lateral Movement,SYSVOL GPO access via SMB2; likely propagation target
IOC-034,HOST,10.5.26.136,Victim,Victim,MEDIUM,MEDIUM,21190,23496,,,,,internal,Internal lateral movement target — SMB SYSVOL access (frames 21190 23496).,T1021.002,Lateral Movement,SYSVOL GPO access via SMB2; likely propagation target
IOC-035,HOST,10.5.26.138,Victim,Victim,MEDIUM,MEDIUM,11269,22908,,,,,internal,Internal lateral movement target — SMB SYSVOL access (frames 11282 21987 22908).,T1021.002,Lateral Movement,SYSVOL GPO access via SMB2; likely propagation target
IOC-036,HOST,10.5.26.140,Victim,Victim,MEDIUM,MEDIUM,20714,21404,,,,,internal,Internal lateral movement target — SMB SYSVOL access (frames 20714 21404).,T1021.002,Lateral Movement,SYSVOL GPO access via SMB2; likely propagation target
IOC-037,DNS-QUERY,97.46.66.173.zen.spamhaus.org,Trickbot,Trickbot,MEDIUM,HIGH,854,859,4,,DNS,,outbound,Trickbot performing reverse DNS spam lookup against Spamhaus ZEN — malware checking if victim IP is blocklisted before proceeding with spam or credential exfiltration operations.,T1016,Discovery,Frames 854–859; also checked cbl.abuseat.org (frames 861–864)
IOC-038,DNS-QUERY,97.46.66.173.cbl.abuseat.org,Trickbot,Trickbot,MEDIUM,HIGH,861,864,4,,DNS,,outbound,Trickbot performing reverse DNS abuse lookup against CBL — same IP reputation pre-check as IOC-037. Pattern consistent with Trickbot spam module.,T1016,Discovery,Frames 861–864; cross-reference IOC-037
IOC-039,NETWORK-BEHAVIOR,TLS-no-SNI-beacon-202s,Cobalt Strike,Cobalt Strike,CRITICAL,HIGH,794,26477,28+,443,TLS,~202,outbound,Cobalt Strike C2 behavioral IOC — TLS ClientHello with no SNI at statistically regular ~202-second intervals to 37.228.70.134 and 45.229.71.211. Interval confirmed across 28 beacon cycles spanning full PCAP duration.,T1071.001,Command and Control,Frames 794 1003 1777 2427 (37.228.70.134); 10888 11411 12812... (45.229.71.211); interval deviation <5s
IOC-040,NETWORK-BEHAVIOR,SMB-SYSVOL-lateral-spread,Cobalt Strike/Trickbot,Both,HIGH,HIGH,311,24711,13+,445,SMB2,,lateral,Multiple internal hosts (10.5.26.130/134/136/138/140) accessing SYSVOL GPO path on DC. Pattern consistent with Trickbot lateral spread via Group Policy or Cobalt Strike SMB lateral movement.,T1021.002,Lateral Movement,Path: victorypunk.com\Policies\{31B2F340...}\gpt.ini; 5 distinct internal hosts affected
